"DATE_TIME";"1__1_2500_044_Engine_Speed__ECU_";"1__1_0181_001_P_Charge_Mix_A";"1__1_4540_007_Fuel_Flow"
"2021-01-22 10:17:47 391000us";0.00;0.98;0.00
"2021-01-22 10:17:47 396000us";0.00;0.98;0.00
"2021-01-22 10:17:47 401000us";0.00;0.98;0.00
"2021-01-22 10:17:47 406000us";0.00;0.98;0.00
"2021-01-22 10:17:47 411000us";0.00;0.98;0.00
"2021-01-22 10:17:47 416000us";0.00;0.98;0.00
"2021-01-22 10:17:47 421000us";0.00;0.98;0.00
"2021-01-22 10:17:47 426000us";0.00;0.98;0.00
"2021-01-22 10:17:47 431000us";0.00;0.98;0.00
"2021-01-22 10:17:47 436000us";0.00;0.98;0.00
"2021-01-22 10:17:47 441000us";0.00;0.98;0.00
"2021-01-22 10:17:47 446000us";0.00;0.98;0.00
"2021-01-22 10:17:47 451000us";0.00;0.98;0.00
"2021-01-22 10:17:47 456000us";0.00;0.98;0.00
"2021-01-22 10:17:47 461000us";0.00;0.98;0.00
"2021-01-22 10:17:47 466000us";0.00;0.98;0.00
"2021-01-22 10:17:47 471000us";0.00;0.98;0.00
"2021-01-22 10:17:47 476000us";0.00;0.98;0.00
"2021-01-22 10:17:47 481000us";0.00;0.98;0.00
"2021-01-22 10:17:47 486000us";0.00;0.98;0.00
"2021-01-22 10:17:47 491000us";0.00;0.98;0.00
"2021-01-22 10:17:47 496000us";0.00;0.98;0.00
"2021-01-22 10:17:47 501000us";0.00;0.98;0.00
"2021-01-22 10:17:47 506000us";0.00;0.98;0.00
"2021-01-22 10:17:47 511000us";0.00;0.98;0.00
"2021-01-22 10:17:47 516000us";0.00;0.98;0.00
"2021-01-22 10:17:47 521000us";0.00;0.98;0.00
"2021-01-22 10:17:47 526000us";0.00;0.98;0.00
"2021-01-22 10:17:47 531000us";0.00;0.98;0.00
"2021-01-22 10:17:47 536000us";0.00;0.98;0.00
"2021-01-22 10:17:47 541000us";0.00;0.98;0.00
"2021-01-22 10:17:47 546000us";0.00;0.98;0.00
"2021-01-22 10:17:47 551000us";0.00;0.98;0.00
"2021-01-22 10:17:47 556000us";0.00;0.98;0.00
"2021-01-22 10:17:47 561000us";0.00;0.98;0.00
"2021-01-22 10:17:47 566000us";0.00;0.98;0.00
"2021-01-22 10:17:47 571000us";0.00;0.98;0.00
"2021-01-22 10:17:47 576000us";0.00;0.98;0.00
"2021-01-22 10:17:47 581000us";0.00;0.98;0.00
"2021-01-22 10:17:47 586000us";0.00;0.98;0.00
"2021-01-22 10:17:47 591000us";0.00;0.98;0.00
"2021-01-22 10:17:47 596000us";0.00;0.98;0.00
"2021-01-22 10:17:47 601000us";0.00;0.98;0.00
"2021-01-22 10:17:47 606000us";0.00;0.98;0.00
"2021-01-22 10:17:47 611000us";0.00;0.98;0.00
"2021-01-22 10:17:47 616000us";0.00;0.98;0.00
"2021-01-22 10:17:47 621000us";0.00;0.98;0.00
"2021-01-22 10:17:47 626000us";0.00;0.98;0.00
"2021-01-22 10:17:47 631000us";0.00;0.98;0.00
"2021-01-22 10:17:47 636000us";0.00;0.98;0.00
"2021-01-22 10:17:47 641000us";0.00;0.98;0.00
"2021-01-22 10:17:47 646000us";0.00;0.98;0.00
"2021-01-22 10:17:47 651000us";0.00;0.98;0.00
"2021-01-22 10:17:47 656000us";0.00;0.98;0.00
"2021-01-22 10:17:47 661000us";0.00;0.98;0.00
"2021-01-22 10:17:47 666000us";0.00;0.98;0.00
"2021-01-22 10:17:47 671000us";0.00;0.98;0.00
"2021-01-22 10:17:47 676000us";0.00;0.98;0.00
"2021-01-22 10:17:47 681000us";0.00;0.98;0.00
"2021-01-22 10:17:47 686000us";0.00;0.98;0.00
"2021-01-22 10:17:47 691000us";0.00;0.98;0.00
"2021-01-22 10:17:47 696000us";0.00;0.98;0.00
"2021-01-22 10:17:47 701000us";0.00;0.98;0.00
"2021-01-22 10:17:47 706000us";0.00;0.98;0.00
"2021-01-22 10:17:47 711000us";0.00;0.98;0.00
"2021-01-22 10:17:47 716000us";0.00;0.98;0.00
"2021-01-22 10:17:47 721000us";0.00;0.98;0.00
"2021-01-22 10:17:47 726000us";0.00;0.98;0.00
"2021-01-22 10:17:47 731000us";0.00;0.98;0.00
"2021-01-22 10:17:47 736000us";0.00;0.98;0.00
"2021-01-22 10:17:47 741000us";0.00;0.98;0.00
"2021-01-22 10:17:47 746000us";0.00;0.98;0.00
"2021-01-22 10:17:47 751000us";0.00;0.98;0.00
"2021-01-22 10:17:47 756000us";0.00;0.98;0.00
"2021-01-22 10:17:47 761000us";0.00;0.98;0.00
"2021-01-22 10:17:47 766000us";0.00;0.98;0.00
"2021-01-22 10:17:47 771000us";0.00;0.98;0.00
"2021-01-22 10:17:47 776000us";0.00;0.98;0.00
"2021-01-22 10:17:47 781000us";0.00;0.98;0.00
"2021-01-22 10:17:47 786000us";0.00;0.98;0.00
"2021-01-22 10:17:47 791000us";0.00;0.98;0.00
"2021-01-22 10:17:47 796000us";0.00;0.98;0.00
"2021-01-22 10:17:47 801000us";0.00;0.98;0.00
"2021-01-22 10:17:47 806000us";0.00;0.98;0.00
"2021-01-22 10:17:47 811000us";0.00;0.98;0.00
"2021-01-22 10:17:47 816000us";0.00;0.98;0.00
"2021-01-22 10:17:47 821000us";0.00;0.98;0.00
"2021-01-22 10:17:47 826000us";0.00;0.98;0.00
"2021-01-22 10:17:47 831000us";0.00;0.98;0.00
"2021-01-22 10:17:47 836000us";0.00;0.98;0.00
"2021-01-22 10:17:47 841000us";0.00;0.98;0.00
"2021-01-22 10:17:47 846000us";0.00;0.98;0.00
"2021-01-22 10:17:47 851000us";0.00;0.98;0.00
"2021-01-22 10:17:47 856000us";0.00;0.98;0.00
"2021-01-22 10:17:47 861000us";0.00;0.98;0.00
"2021-01-22 10:17:47 866000us";0.00;0.98;0.00
"2021-01-22 10:17:47 871000us";0.00;0.98;0.00
"2021-01-22 10:17:47 876000us";0.00;0.98;0.00
"2021-01-22 10:17:47 881000us";0.00;0.98;0.00
"2021-01-22 10:17:47 886000us";0.00;0.98;0.00
"2021-01-22 10:17:47 891000us";0.00;0.98;0.00
"2021-01-22 10:17:47 896000us";0.00;0.98;0.00
"2021-01-22 10:17:47 901000us";0.00;0.98;0.00
"2021-01-22 10:17:47 906000us";0.00;0.98;0.00
"2021-01-22 10:17:47 911000us";0.00;0.98;0.00
"2021-01-22 10:17:47 916000us";0.00;0.98;0.00
"2021-01-22 10:17:47 921000us";0.00;0.98;0.00
"2021-01-22 10:17:47 926000us";0.00;0.98;0.00
"2021-01-22 10:17:47 931000us";0.00;0.98;0.00
"2021-01-22 10:17:47 936000us";0.00;0.98;0.00
"2021-01-22 10:17:47 941000us";0.00;0.98;0.00
"2021-01-22 10:17:47 946000us";0.00;0.98;0.00
"2021-01-22 10:17:47 951000us";0.00;0.98;0.00
"2021-01-22 10:17:47 956000us";0.00;0.98;0.00
"2021-01-22 10:17:47 961000us";0.00;0.98;0.00
"2021-01-22 10:17:47 966000us";0.00;0.98;0.00
"2021-01-22 10:17:47 971000us";0.00;0.98;0.00
"2021-01-22 10:17:47 976000us";0.00;0.98;0.00
"2021-01-22 10:17:47 981000us";0.00;0.98;0.00
"2021-01-22 10:17:47 986000us";0.00;0.98;0.00
"2021-01-22 10:17:47 991000us";0.00;0.98;0.00
"2021-01-22 10:17:47 996000us";0.00;0.98;0.00
"2021-01-22 10:17:48 001000us";0.00;0.98;0.00
"2021-01-22 10:17:48 006000us";0.00;0.98;0.00
"2021-01-22 10:17:48 011000us";0.00;0.98;0.00
"2021-01-22 10:17:48 016000us";0.00;0.98;0.00
"2021-01-22 10:17:48 021000us";0.00;0.98;0.00
"2021-01-22 10:17:48 026000us";0.00;0.98;0.00
"2021-01-22 10:17:48 031000us";0.00;0.98;0.00
"2021-01-22 10:17:48 036000us";0.00;0.98;0.00
"2021-01-22 10:17:48 041000us";0.00;0.98;0.00
"2021-01-22 10:17:48 046000us";0.00;0.98;0.00
"2021-01-22 10:17:48 051000us";0.00;0.98;0.00
"2021-01-22 10:17:48 056000us";0.00;0.98;0.00
"2021-01-22 10:17:48 061000us";0.00;0.98;0.00
"2021-01-22 10:17:48 066000us";0.00;0.98;0.00
"2021-01-22 10:17:48 071000us";0.00;0.98;0.00
"2021-01-22 10:17:48 076000us";0.00;0.98;0.00
"2021-01-22 10:17:48 081000us";0.00;0.98;0.00
"2021-01-22 10:17:48 086000us";0.00;0.98;0.00
"2021-01-22 10:17:48 091000us";0.00;0.98;0.00
"2021-01-22 10:17:48 096000us";0.00;0.98;0.00
"2021-01-22 10:17:48 101000us";0.00;0.98;0.00
"2021-01-22 10:17:48 106000us";0.00;0.98;0.00
"2021-01-22 10:17:48 111000us";0.00;0.98;0.00
"2021-01-22 10:17:48 116000us";0.00;0.98;0.00
"2021-01-22 10:17:48 121000us";0.00;0.98;0.00
"2021-01-22 10:17:48 126000us";0.00;0.98;0.00
"2021-01-22 10:17:48 131000us";0.00;0.98;0.00
"2021-01-22 10:17:48 136000us";0.00;0.98;0.00
"2021-01-22 10:17:48 141000us";0.00;0.98;0.00
"2021-01-22 10:17:48 146000us";0.00;0.98;0.00
"2021-01-22 10:17:48 151000us";0.00;0.98;0.00
"2021-01-22 10:17:48 156000us";0.00;0.98;0.00
"2021-01-22 10:17:48 161000us";0.00;0.98;0.00
"2021-01-22 10:17:48 166000us";0.00;0.98;0.00
"2021-01-22 10:17:48 171000us";0.00;0.98;0.00
