"DATE_TIME";"1__1_2500_044_Engine_Speed__ECU_";"1__1_0181_001_P_Charge_Mix_A";"1__1_4540_007_Fuel_Flow"
"2021-01-22 09:50:03 211000us";0.00;0.98;0.00
"2021-01-22 09:50:03 216000us";0.00;0.98;0.00
"2021-01-22 09:50:03 221000us";0.00;0.98;0.00
"2021-01-22 09:50:03 226000us";0.00;0.98;0.00
"2021-01-22 09:50:03 231000us";0.00;0.98;0.00
"2021-01-22 09:50:03 236000us";0.00;0.98;0.00
"2021-01-22 09:50:03 241000us";0.00;0.98;0.00
"2021-01-22 09:50:03 246000us";0.00;0.98;0.00
"2021-01-22 09:50:03 251000us";0.00;0.98;0.00
"2021-01-22 09:50:03 256000us";0.00;0.98;0.00
"2021-01-22 09:50:03 261000us";0.00;0.98;0.00
"2021-01-22 09:50:03 266000us";0.00;0.98;0.00
"2021-01-22 09:50:03 271000us";0.00;0.98;0.00
"2021-01-22 09:50:03 276000us";0.00;0.98;0.00
"2021-01-22 09:50:03 281000us";0.00;0.98;0.00
"2021-01-22 09:50:03 286000us";0.00;0.98;0.00
"2021-01-22 09:50:03 291000us";0.00;0.98;0.00
"2021-01-22 09:50:03 296000us";0.00;0.98;0.00
"2021-01-22 09:50:03 301000us";0.00;0.98;0.00
"2021-01-22 09:50:03 306000us";0.00;0.98;0.00
"2021-01-22 09:50:03 311000us";0.00;0.98;0.00
"2021-01-22 09:50:03 316000us";0.00;0.98;0.00
"2021-01-22 09:50:03 321000us";0.00;0.98;0.00
"2021-01-22 09:50:03 326000us";0.00;0.98;0.00
"2021-01-22 09:50:03 331000us";0.00;0.98;0.00
"2021-01-22 09:50:03 336000us";0.00;0.98;0.00
"2021-01-22 09:50:03 341000us";0.00;0.98;0.00
"2021-01-22 09:50:03 346000us";0.00;0.98;0.00
"2021-01-22 09:50:03 351000us";0.00;0.98;0.00
"2021-01-22 09:50:03 356000us";0.00;0.98;0.00
"2021-01-22 09:50:03 361000us";0.00;0.98;0.00
"2021-01-22 09:50:03 366000us";0.00;0.98;0.00
"2021-01-22 09:50:03 371000us";0.00;0.98;0.00
"2021-01-22 09:50:03 376000us";0.00;0.98;0.00
